Prison,Assualts last year
Altcourse,93
Ashfield,1
Askham Grange,0
Aylesbury,73
Bedford,22
Belmarsh,80
Birmingham,164
Blantyre House,0
Brinsford,69
Bristol,40
Brixton,37
Bronzefield,29
Buckley Hall,18
Bullingdon,46
Bure,4
Cardiff,33
Channings Wood,25
Chelmsford,80
Coldingley,15
Cookham Wood,92
Dartmoor,3
Deerbolt,29
Doncaster,125
Dovegate,52
Downview,0
Drake Hall,1
Durham,42
East Sutton Park,0
Eastwood Park,34
Erlestoke,5
Exeter,31
Featherstone,23
Feltham,127
Ford,2
Forest Bank,49
Foston Hall,15
Frankland,14
Full Sutton,15
Garth,42
Gartree,22
Grendon/Spring Hill,1
Guys Marsh,51
Haverigg,19
Hewell,68
High Down,70
Highpoint,58
Hindley,34
Hollesley Bay,3
Holme House,24
Hull,43
Humber,39
Huntercombe,22
Isis,54
Isle of Wight,11
Kirkham,0
Kirklevington Grange,0
Lancaster Farms,20
Leeds,112
Leicester,73
Lewes,24
Leyhill,0
Lincoln,63
Lindholme,45
Littlehey,12
Liverpool,47
Long Lartin,14
Low Newton,16
Lowdham Grange,65
Maidstone,14
Manchester,81
Moorland,39
New Hall,9
North Sea Camp,1
Northumberland,35
Norwich,30
Nottingham,109
Oakwood,65
Onley,58
Parc,135
Pentonville,128
Peterborough,88
Portland,40
Preston,31
Ranby,63
Risley,25
Rochester,30
Rye Hill,29
Send,2
Stafford,3
Stocken,15
Stoke Heath,41
Styal,54
Sudbury,2
Swansea,15
Swinfen Hall,38
Thameside,126
Thorn Cross,2
Usk\Prescoed,1
Wakefield,7
Wandsworth,109
Warren Hill,0
Wayland,54
Wealstun,25
Werrington,91
Wetherby,91
Whatton,1
Whitemoor,23
Winchester,81
Woodhill,96
Wormwood Scrubs,123
Wymott,21